final_exam,ga1,ga2,homework,CalculatedNumericResult,EndResult,Passed,origin,sex,croho,double_major,type_vooropleiding,ECTS,GPA,total_attended_labsessions,course_repeater,active_minutes,total_course_activities,nightly_activities,distinct_days,logged_in_weekly,nr_files_viewed,nr_distinct_files_viewed,nr_slides_viewed,nr_practice_exams_viewed
"6,3","9,4","6,7","10,0",7.2,7.0,true,ORIGIN_E,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,6.9,6,false,3888,460,44,34,1,65,26,21,8
"6,3","9,8","9,3","10,0",7.9,8.0,true,ORIGIN_E,SEX_V,B Computer Science & Engineering,false,BUITENL_SL,15,7.1,5,false,2853,332,72,32,1,43,22,7,5
"6,7","0,0","5,8","10,0",5.8,6.0,true,ORIGIN_N,SEX_V,Other,false,VWO,60+,6.3,6,false,2051,404,20,31,1,58,27,16,6
"6,7","0,0","6,5","10,0",6.0,6.0,true,ORIGIN_R,SEX_V,B Industrial Engineering,false,BUITENL_SL,15,7.0,5,false,4193,476,36,43,1,74,27,25,2
"6,7","0,0","7,6","10,0",6.3,6.0,true,ORIGIN_R,SEX_V,B Industrial Engineering,false,BUITENL_SL,15,7.4,2,false,1901,352,40,28,1,51,27,6,7
"6,7","0,0","7,7","9,0",6.2,6.0,true,ORIGIN_R,SEX_V,B Data Science (joint degree),false,BUITENL_SL,60+,5.7,0,true,2209,348,28,33,1,52,26,8,7
"6,7","3,9","7,6","10,0",6.8,7.0,true,ORIGIN_R,SEX_M,B Industrial Engineering,false,BUITENL_SL,5,6.6,2,false,6547,816,128,61,1,159,36,76,25
"6,7","4,7","7,1","10,0",6.8,7.0,true,ORIGIN_R,SEX_M,B Industrial Engineering,false,BUITENL_SL,5,6.4,0,false,2038,452,28,40,1,67,32,21,3
"6,7","5,4","7,0","10,0",6.9,7.0,true,ORIGIN_R,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,6.9,2,false,4444,396,56,26,1,62,31,15,5
"6,7","5,4","7,3","8,0",6.8,7.0,true,ORIGIN_N,SEX_M,B Industrial Design,false,VWO,20-40,5.0,2,false,2078,280,28,26,1,36,17,5,2
"6,7","5,5","5,3","10,0",6.5,7.0,true,ORIGIN_R,SEX_V,B Industrial Engineering,false,BUITENL_SL,15,5.7,0,false,1284,316,60,32,0,36,17,8,0
"6,7","5,6","5,0","10,0",6.4,6.0,true,ORIGIN_R,SEX_M,B Industrial Engineering,false,BUITENL_SL,10,5.6,0,false,2039,312,16,33,1,35,19,9,1
"6,7","5,6","6,3","8,0",6.6,7.0,true,ORIGIN_R,SEX_M,B Industrial Engineering,false,BUITENL_SL,10,5.7,0,false,1396,412,92,26,1,67,25,35,4
"6,7","5,8","9,0","10,0",7.5,7.0,true,ORIGIN_N,SEX_V,B Industrial Engineering,false,VWO,10,7.2,2,false,1912,540,4,42,1,95,33,28,16
"6,7","5,9","7,0","10,0",7.0,7.0,true,ORIGIN_E,SEX_V,B Industrial Design,false,BUITENL_SL,10,6.1,3,false,1282,388,28,26,1,58,27,9,1
"6,7","6,1","7,3","9,0",7.0,7.0,true,ORIGIN_E,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,5.9,0,false,3078,316,52,28,1,43,26,13,1
"6,7","6,3","4,9","10,0",6.5,7.0,true,ORIGIN_E,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,6.5,2,false,4167,432,28,28,1,67,32,21,6
"6,7","6,6","8,2","9,0",7.3,7.0,true,ORIGIN_N,SEX_V,B Industrial Design,false,VWO,10,5.6,4,false,4929,492,24,36,1,82,23,34,8
"6,7","6,6","9,5","10,0",7.7,8.0,true,ORIGIN_E,SEX_V,B Data Science (joint degree),false,BUITENL_SL,20-40,6.5,11,false,3022,500,64,53,1,75,26,25,9
