subgroup,term,coef,p,significant
#24,G2,-0.611623137225466,0.28816363117793176,no
#24,absences,0.16459872015696558,0.07108521840438435,yes
#24,activities,-4.347746061404744,0.0002665970030317863,yes
#24,paid,1.3480219726452376,0.20331368561262372,no
#24,famsup,-1.6753013836293078,0.08834513261702395,yes
#24,schoolsup,3.4919910950533506,0.0578990103505122,yes
#24,studytime,-0.9600772312952759,0.16958106404136095,no
#25,const,-2.407770305352586,0.33739419685525185,no
#25,G1,0.7712735752203518,0.012809891848571366,yes
#25,G2,0.21345743532937578,0.46551531897819376,no
#25,absences,0.37335033681038193,0.0015122403663245304,yes
#25,activities,-4.385804080073709,0.0006442102347274412,yes
#25,paid,0.740577234055882,0.5313111339117567,no
#25,famsup,0.14721663231143123,0.8979077634336512,no
#25,schoolsup,3.26074456802095,0.0682753717149647,yes
#25,studytime,0.38224191446485145,0.6176727441253427,no
#26,const,-6.4586646252008455,0.013427405592758545,yes
#26,G1,0.6821171524429842,0.08991665502656562,yes
#26,G2,0.7199186225095469,0.03661422831880836,yes
#26,absences,-0.13518019327439684,0.5035841162848242,no
#26,activities,0.17474470085588978,0.8604920353049312,no
#26,paid,2.451181350131012,0.04902630559813301,yes
#26,famsup,-1.8701708255683376,0.18975578470905582,no
#26,schoolsup,-5.830466605968429,0.06727350337503821,yes
#26,studytime,0.7263035967627003,0.21590111963617178,no
#27,const,-1.9450236111304848,0.37807443471003777,no
#27,G1,0.8086548607412034,0.01575943949910079,yes
#27,G2,0.3103580614566165,0.26429270219458467,no
#27,absences,0.3896690373335771,0.0016552306282341333,yes
#27,activities,-3.4637224641341318,0.002375624875550575,yes
#27,paid,0.9789355354974583,0.4119625133074799,no
#27,famsup,-0.6767524973800132,0.525661383642793,no
#27,schoolsup,-1.5993533204849317,0.5411868350449598,no
#27,studytime,-0.318698174449361,0.5730498841927376,no
#28,const,1.403253312182482,0.5783705614213741,no
#28,G1,1.2264694030523313,0.020241645839910078,yes
#28,G2,-0.027294016972287283,0.9567207661813233,no
#28,absences,-0.011884287704553865,0.7271051422485647,no
#28,activities,-4.103207035761786,0.0007637940366703255,yes
#28,paid,0.65173120438152,0.5356911325093971,no
#28,famsup,-3.271642561750626,0.004577503544383642,yes
#28,schoolsup,0.6475121182351788,0.8099474115302931,no
#28,studytime,-0.9740213088091346,0.25084343427041905,no
#29,const,-8.956020402856451,0.0073978636482711505,yes
#29,G1,1.3939130501640802,0.003814611294824425,yes
#29,G2,0.3055380770796061,0.4100629294608994,no
#29,absences,0.043293202755540196,0.30891393786696336,no
#29,activities,-2.85203909343197,0.017579994956767497,yes
#29,paid,2.830139900601878,0.06278447630222594,yes
#29,famsup,-2.0417103933215186,0.1572548274224221,no
#29,schoolsup,7.106754401647574,0.0021593640119884072,yes
#29,studytime,-0.24703439358618667,0.7440913941341367,no
#30,const,-2.626278776210484,0.13887312752864817,no
#30,G1,0.9076334327078062,0.06493801934367703,yes
#30,G2,0.25612787262591885,0.6118771607474562,no
#30,absences,0.24288829476878765,0.008257864445802506,yes
#30,activities,-4.709725021560332,0.00014702333370109888,yes
#30,paid,1.428353148116555,0.1811554247962314,no
#30,famsup,-1.4866977557170178,0.17481624870771262,no
#30,schoolsup,1.2627447657421433,0.6543997784332132,no
#30,studytime,-0.08436507871949361,0.9178781906842303,no
#31,const,-1.8759631668304784,0.5464115866403876,no
#31,G1,0.9134079430034557,0.21038224920846582,no
#31,G2,0.1465020802862922,0.8582529913095224,no
#31,absences,0.00829655304452822,0.8517776497752715,no
#31,activities,-4.201179552423855,0.005739642577238403,yes
#31,paid,1.4854734505678562,0.30553481133980326,no
#31,famsup,-2.3947906869192472,0.10753004027911164,no
#31,schoolsup,1.157402323035574,0.7460493953048506,no
#31,studytime,0.6113646643963486,0.498573531670246,no
#32,const,-4.062396680783524,0.07346525133854716,yes
#32,G1,0.7757845484182705,0.023282063970484417,yes
#32,G2,0.5625269119198565,0.05739554588995142,yes
#32,absences,0.30560158507262436,0.01742119876577466,yes
#32,activities,-4.265793866234298,0.00014710642973249813,yes
#32,paid,1.1785464016845895,0.24973252660067524,no
#32,famsup,-0.9040455063708415,0.37615056823496906,no
#32,schoolsup,3.8553273375746526,0.04195042959189019,yes
#32,studytime,-0.5980962329513635,0.3786670277455877,no
#33,const,-5.662605179795541,0.007530359423246174,yes
#33,G1,0.17703361294561293,0.5959926217032807,no
#33,G2,1.4222221109657245,0.0009471070073394101,yes
#33,absences,0.35334897497033646,0.016636710351231702,yes
